author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Satoshi Tanaka,kHAuG30AAAAJ,Visualization,Digital Humanities,Monte Carlo Simulation,,,,,,,,,,,,,,192,365,589,730,957,1364,1646,1804,2034,3001,3872,4289,4358,5004,5255,5682,5997,5325,5105,5199,5209,1375
Lev Manovich,QP5JHg_7o_cC,digital culture,media theory,digital humanities,digital art,cultural analytics,,,,,,,,,,,,186,292,406,505,615,772,939,1009,1200,1462,1805,2078,2556,2582,2942,2879,2919,2895,2908,2730,2314,367
David De Roure,ETrbpjsAAAAJ,Digital Humanities,Computational Musicology,Internet of Things,Cybersecurity,e-Science,,,,,,,80,101,111,171,188,284,455,566,725,850,778,838,1009,971,1031,1066,1110,1098,1092,957,954,770,1182,943,1054,974,214
Gerik Scheuermann,FXZzosEAAAAJ,Visualization,Visual Analytics,Topology,Cliffordalgebra,Digital Humanities,,,,,,,,,,,,56,117,136,169,196,279,297,316,313,405,441,395,449,456,1008,1755,2046,2281,2366,2747,2592,590
Graeme Hirst,VGdVdjwAAAAJ,Computational Linguistics,Natural Language Processing,Digital Humanities,,,88,123,167,156,154,131,160,195,167,180,144,189,281,344,444,517,566,626,646,797,675,811,811,930,899,979,857,865,845,946,855,833,129
Shlomo Engelson Argamon,mjsJxhQAAAAJ,Artificial intelligence,machine learning,computational linguistics,digital humanities,authorship analysis,,,,,,39,42,49,51,78,75,86,88,128,164,210,258,325,366,448,499,586,722,753,780,934,849,902,861,917,825,839,164
David Mimno,uBFV6SUAAAAJ,Machine Learning,Text Mining,Topic Modeling,Digital Humanities,,,,,,,,,,,,,,,,,,32,62,98,164,250,344,427,574,707,836,846,1011,1280,1372,1417,1416,272
Antal van den Bosch,LCuzJyYAAAAJ,Computational Linguistics,Digital Humanities,Artificial Intelligence,Machine Learning,Text Analytics,,,,,,35,69,93,127,203,156,210,196,273,308,376,382,351,446,473,371,402,398,451,427,535,528,565,556,570,619,543,111
Katrien Verbert,t5cgwVAAAAAJ,Explainable AI,interactive recommender systems,human-computer interaction,visual analytics,digital humanities,,,,,,,,,,,,,,,52,69,42,87,76,123,151,215,330,428,536,673,752,839,992,1152,1305,1414,300
Frederic Kaplan,pZEf29QAAAAJ,Digital Humanities,,,,,,,,,,,,,23,59,46,111,104,120,296,204,259,289,349,345,386,353,471,483,411,502,491,561,697,667,707,738,156
Erik Tjong Kim Sang,3_FPFgMAAAAJ,Computational Linguistics,Digital Humanities,Machine Learning,,,,,,,,,,,,32,65,118,122,136,221,234,258,273,280,296,240,312,322,335,361,410,425,551,663,775,857,919,145
Walter Scheirer,dlV-qnUAAAAJ,Artificial Intelligence,Computer Vision,Machine Learning,Digital Humanities,,,,,,,,,,,,,,,,,,,34,61,102,105,128,249,260,347,383,457,604,760,1060,1240,1394,381
